"Korak","Status","Minuta","CenaUSD","Commit"
"S3","OK","31","10.79","bd3e847"
"S4","OK","27","9.94","3f7c813"
"S5","OK","28","9.37","ba60ef6"
"S6","OK","31","12.55","002de0e"
"S7","OK","45","22.63","57b8c56"
"SRV","OK","20","7.39","e73eb3f"
