"Korak","Status","Minuta","CenaUSD","Commit"
"P1","BLOKADA","48","12.88","c351c2f"
"P2","BLOKADA","24","2.13","c351c2f"
"P3","BLOKADA","19","6.94","c351c2f"
"P4","BLOKADA","12","4.22","c351c2f"
"P5","BLOKADA","21","9.27","c351c2f"
"P6","BLOKADA","25","10.86","c351c2f"
"P7","BLOKADA","17","9.84","c351c2f"
"P8","BLOKADA","31","9.82","c351c2f"
"P9","BLOKADA","55","10.97","c351c2f"
"P10","BLOKADA","31","5.85","c351c2f"
"RV2","BLOKADA","19","8.49","c351c2f"
