"Korak","Status","Minuta","CenaUSD","Commit"
"A1","BLOKADA","4","1.26","4215507"
"A2","BLOKADA","17","6.11","d1f98a9"
"A3","BLOKADA","6","2.37","245ff00"
"A4","BLOKADA","5","1.86","ecd39dd"
"A5","BLOKADA","5","2.08","fb7eaed"
"A6","BLOKADA","17","6.96","a7a3221"
"A7","BLOKADA","4","1.97","00d925c"
"A8","BLOKADA","8","3.52","f06a3d5"
"A9","BLOKADA","17","5.99","53789c0"
"A10","BLOKADA","20","7.12","add763d"
"RV","BLOKADA","15","4.77","c351c2f"
